id,Attraction,Rating,NumReviews,Address,Duration,Score,Coordinates,ReviewsSummary,0,1,2,3,4,5,6,Country,About,Categories
1,Gardens by the Bay,4.5,41461,"18 Marina Gardens Drive, Singapore 018953, Singapore",150,186574.5,"(1.2813012, 103.8644179)","It is a must visit place in Singapore. the domes were beautiful, we did them at night and they were beautiful and cool, The light show was really good as was the walk amongst the tree tops. We really enjoyed our time walking around the place. you can visit the flower dome and cloud forest at same time. Beautiful walk in the gardens.","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)",Singapore,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","Gardens, Nature & Parks"
2,Singapore Zoo,4.5,17434,"80 Mandai Lake Road, Singapore 729826, Singapore",90,78453,"(1.4049843, 103.7905489)","Kids will have a great time. I visit Singapore a lot, and I always make time for a visit to the zoo. our first visit to singapore zoo. We were able to see animals that are not in US zoos. The place is non-aircon, and the walk will be hot.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!",Features Animals
3,Singapore Botanic Gardens,4.5,15044,"1 Cluny Road, Singapore 259569, Singapore",90,67698,"(1.3151016, 103.8161925)","Nice walk around, orchids were beautiful and the rainforest walk was good Great gardens. I walked around here and there, and went to orchid garden too. Especially the orchid garden. Great place to have a lovely walk. If you are in Singapore it is a must to visit the orchid garden!","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)","(300, 1439)",Singapore,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.","Gardens, Nature & Parks"
4,Singapore Mass Rapid Transit (SMRT),4.5,14981,"Singapore 069112, Singapore",60,67414.5,"(1.279814, 103.846025)","The stations and trains are very clean. The stations are everywhere. It's clean, clean, clean. So easy to get around Singapore. I can almost go everywhere in Singapore with MRT.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Mass Transportation Systems, Transportation"
5,Singapore Flyer,4.5,14704,"30 Raffles Avenue, Singapore 039803, Singapore",90,66168,"(1.2895301, 103.8632483)","Flyer is a 45min ride. Everyone might think it's just a ride in a big wheel, yes it's a wheel ride but with an amazing view, you can see almost every place of the city. You really do get the whole view of Singapore from the Singapore Flyer. If you want to see the best of Singapore this the way. Great views across the whole city, very enjoyable.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"At 165 metres tall, Singapore Flyer is a masterpiece of urban architecture and engineering that showcases not only the mesmerizing cosmopolitan cityscape of the tropical Lion City, but even the surrounding islands of Indonesia and parts of Malaysia in all their glory. In addition to offering panoramic views of Singapore's cosmopolitan cityscape, guests can also indulge in a flute of champagne, or savour the iconic Singapore Sling whilst hosted in a special themed capsule. Diners seeking both privacy and luxury can opt for a multi-sensory treat unlike any other with our Premium Sky Dining Flight, complete with a four-course dinner and an in-flight host.","Observation Decks & Towers, Points of Interest & Landmarks, Sights & Landmarks"
6,Marina Bay Sands Skypark,4.5,12611,"Bayfront Avenue, 10 | Marina Bay Sands Hotel, Singapore 018956, Singapore",90,56749.5,"(1.2839431, 103.8609341)","I mentioned in my Marina Bay Sands hotel review that staying at this hotel is not cheap but the main reason anyone who would stay at this hotel is for the hotels skypark and infinity pool. The view from the top deck of the marina bay sands is amazing and we'll worth the money to get to the top The view from the top was phenomenal! Great views of the city from the 56th Floor, especially at night. Friendly staff great location near the bay gardens and the casino We booked (and pre-paid) for an inter-connecting room to be told on arrival (following a ridiculously long wait to check in!) What a view of Singapore!","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Observation Decks & Towers, Points of Interest & Landmarks, Sights & Landmarks"
7,National Orchid Garden,4.5,10741,"1 Cluny Rd | Within the Singapore Botanic Gardens, Singapore 259569, Singapore",90,48334.5,"(1.3138397, 103.8159136)","If you like flowers you will love this place. You will be amazed by the beauty and variety of the orchids on display. Beautiful orchid garden, well worth the visit. A must see at the Botanical Gardens. If you like orchids and beautiful gardens, then this is for you.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Gardens, Nature & Parks"
8,Marina Bay,4.5,10228,"Marina Boulevard, Singapore 018980, Singapore",90,46026,"(1.280351, 103.8548157)","The night view is great. A great place to view and take in Singapore. Marina Bay Sand 2. Beautiful area, also to walk. Beautiful place Good area to stroll in with a lot of shops to look into.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Marinas, Bodies of Water, Nature & Parks"
9,Orchard Road,4,10250,"Singapore, Singapore",240,41000,"(1.352083, 103.819836)","There are a lot of stores along the street. Lots of malls and shops on the street. As always in Singapore, good food! You only go to orchard road if you like shopping! If you like to shop it is a great place to visit.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Spanning almost 2.2 km, Orchard Road is a swanky, tree-lined one-way boulevard flanked by distinctive shopping malls and hotels.The shopping belt comprises nearly 800,000 sq m of shops and restaurants and promises to please any taste or budget with its iconic malls which boast the full works - from opulent brands to high street fashion, and from exclusive restaurants to fast food joints.It is a Great Street to shop, dine, stay, play, work, and live.","Points of Interest & Landmarks, Sights & Landmarks"
10,Merlion Park,4,7421,"1 Fullerton Road One Fullerton | Merlion Park, Singapore 049213, Singapore",90,29684,"(1.28573, 103.8539282)","At night though, there were very few people about and we got great pictures. If you have been go to singapore but you didn't visit merlion you will be said that you never been go to singapore. You have to go to Merlion Park if you are in Singapore. One of Singapores many landmarks this was a fun icon to see and it also has great views of Marina Bay Sands and the harbour front area, its a nice walk over the bridge to see the Merlion. This is a must see place in Singapore.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Standing at 8.6 metres high and weighing 70 tonnes, the Merlion statue has a lion’s head and a fish’s body, and is housed here in this 2,500 square metre park.","Monuments & Statues, Sights & Landmarks"
11,Buddha Tooth Relic Temple and Museum,4.5,5094,"288 South Bridge Road, Singapore 058840, Singapore",90,22923,"(1.2814698, 103.8442667)","The tooth relic on the 4th floor is amazing and there is a garden on the fifth floor with a huge praying wheel and 10,000 Buddhas. It is one of the beautiful temples of Buddha. it's a second time i've visited Buddha Tooth Relic temple, this temple is very nice, location near chinatown complex. Value place need to visit. Very different from other temples I have visited.","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The Buddha Tooth Relic Temple and Museum (BTRTM) was founded in 2002 by Venerable Shi Fazhao. It was registered by the Registrar of Societies in 20th February 2003, and as a charity under the Charities Act in 8th January 2004. The Temple is dedicated to the Maitreya Buddha, which means 'The Compassionate One', and also called 'The Future Buddha'. (A)WEEKLY FREE GUIDED TOUR: BTRTM is pleased to offer a 1 1/2 - 2 hrs long guided tour of the Temple every Saturdays at 2pm. The tour will be conducted free-of-charge in English by the temple's Volunteers guides. Limited slots are available per weekly session. Confirmed registration is based on first-come-first-serve basis. (B)DISCOVERING BUDDHISM: Shakyanmuni Buddha had gained insight into the truth, perfected the qualities of wisdom and compassion over 2560 years ago. His teachings develops clarity in minds, enables abilities to end suffering and finds lasting happiness. Buddha Tooth Relic Temple is carrying on the mission in offering ""Discovering Buddhism' programme. 'Discovering Buddhism' is a specially designed programme for participants to gain experiential taste of Chinese Mahayana Buddhist etiquette, Basic Buddhist teachings and Basic Meditation within a day. This English taught programme is suitable for both tourists who wish to learn more about Buddhism and experienced learners who needs a refresher. Participants will benefit from the interactive and engaging teaching led by Venerable Wu Xiang and Venerable Ru Zhi who have more than a decade experience teaching Buddhism and Meditation in different cultural settings! [Chinese Mahayana Buddhist Etiquette] Buddhist etiquette is an important part of every Buddhist life. It expresses religious sentiments to the Buddha, the Teacher (Monk or Nun) and promotes gracefulness in social interactions. This is also a mean of training in mindfulness in every action one is taking. [Basic Buddhist teachings] Buddhism has been transmitted over the past centuries because of its timeless and enduring message to the spiritual needs of man in finding true peace, happiness, and well-being. In this part of the programme, learn about the basic essential knowledge of Buddhism. [Basic Meditation] Buddhist have been practicing meditation in cultivating calm, focused and positive states of mind. Introductory of technique will be taught to enable the participants to learn practical tips on how to achieve a clearer state of mind and focus better. Things to take note : * Avoid wearing hats, shorts or revealing tops * The organizer reserves the right to cancel the tour due to unforeseen circumstances. In such instances, registrants will be notified via their mobile phones.","Sacred & Religious Sites, Speciality Museums, Sights & Landmarks, Museums"
12,Jurong Bird Park,4.5,4003,"2 Jurong Hill Jurong Bird Park, Singapore 628925, Singapore",150,18013.5,"(1.3187065, 103.7064417)","good place to visit when you are with kids. there are places that you can feed the birds as well. If its not here,  its probably not a bird. I visited Jurong bird park on 23.04.2017. There is 2 birds show that you must see.","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)","(480, 1080)",Singapore,"Fly in to Asia's largest bird paradise and feast your senses on over 5000 colourful birds across 400 species. Spanning over 20.2 Hectares of naturalistic habitats and giant walk-in aviaries, enjoy close interactions with the feathered residents at daily feeding sessions and be tickled by their show-stopping antics in exciting bird shows. Enjoy sumptuous Asian buffet lunch in the company of talented parrots and get wild and wet at the kids-friendly bird-themed playground.",Features Animals
13,Singapore Cable Car,4.5,3028,"109 Mount Faber Road Faber Peak, Singapore 099203, Singapore",90,13626,"(1.2713286, 103.8194656)","If you are riding the cable car, you are likely going to Sentosa Island. Worth enjoying during Singapore visit. Great view on Singapore and Sentosa. Overall, we enjoyed the ride and this is definitely a must go to ride at least once, if you visit Singapore or Sentosa island. Best way to be in Sentosa Island!!","(540, 1320)","(540, 1320)","(540, 1320)","(540, 1320)","(540, 1320)","(540, 1320)","(540, 1320)",Singapore,"The breath-taking connection between Faber Peak Singapore and Sentosa Island Established since 1974, Singapore Cable Car is the nation's first and only cableway that links Faber Peak on mainland Singapore to the island resort of Sentosa, before flying you to the Merlion or the sandy beach at Siloso. Today, the cable car rides are enjoyed across a Cable Car Sky Network of more than 100 cabins spanning almost 5 kilometres on the Mount Faber Line and the Sentosa Line. A 'joyride' across the Cable Car Sky Network offers a 360-degree aerial and visual treat of the entire Sentosa-HarbourFront skyline and the resort island. The scenery transforms as the cabins soar above the forest, through a skyscraper, over the harbour and travel across the jungle, sand and sea. Our passionate service ambassadors are on hand to create happy moments for all cable car joyriders. Singapore Cable Car Opening Hours: From 8.45am to 10pm (Last boarding: 9.30pm)","Tramways, Scenic Walking Areas, Transportation, Sights & Landmarks, More"
